Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CYM,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4418564,102.9787216,100.398407,108.2089615,,92.55319214,105.0359726,89.37728882,111.9565201,93.57142639,,,105.3968277,106.790123,105.3511734,,,,,126.5233002,112.0879135,,110.9467468,91.81585693,86.56388092
CYP,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.27323151,98.57837677,100.9027634,102.7524719,86.37943268,98.529953,99.53201294,98.10314178,97.71961212,99.85774994,100.8589172,101.5515671,99.69033051,97.85682678,100.0972137,97.79705048,98.93182373,101.156868,101.8606796,102.1251984,99.40184021,100.7490616,100.1432419,
CZE,Czechia,,,,,,,,,,,,,,,,,,,,,,,,97.40213776,100.8830032,,107.2741776,,,99.42823792,101.9009094,97.82536316,102.5325775,100.5804672,100.1448364,106.7384491,104.3170624,105.084053,101.0491104,100.7894669,101.8599396,100.8088531,98.97106171,99.25843048,99.55545807,97.42697144,97.97286987,97.31559753,93.38730621,96.51489258,96.58863068,101.5925293,102.6768723,
DEU,Germany,,,,,,,,,,,,,,,,,,,,,,,,100.8821106,99.95902252,100.2549515,99.22917938,99.71875763,,100.1423492,99.05393982,107.0272903,103.3883667,102.0694885,102.8371277,101.0421371,99.68686676,102.2233429,102.8039474,104.0055618,101.133728,103.6364365,102.0554504,101.8032074,99.2480011,101.8701096,100.0956879,97.64916992,98.74008179,99.93087769,98.48719025,101.0210114,98.00009918,
DJI,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,,,,,,,,,,,,,,,,,,,135.40802,,,,,,,,,,,119.8601379,109.9715118,113.1693192,105.4172821,99.85379791,106.9970779,111.7647095,99.40476227,101.6949234,97.59230042,91.20134735,87.52197266,99.6569519,96.75213623,93.49736023,101.7013168,100,103.4416809,,,87.52399445,,82.85713959,85.30020905,85.7142868
DNK,Denmark,,98.84191132,94.99408722,97.13627625,96.03965759,,,,,,,98.16391754,99.06079102,99.53677368,98.59394073,99.67366791,98.42008209,98.77828217,99.44509125,99.5359726,99.92150879,99.318367,98.61228943,100.4957962,100.7578278,,,,100.6324692,100.1068268,100,99.47544098,102.6814804,,100.0641479,98.85373688,103.7313004,100,99.55528259,98.78327179,99.54801941,101.0717392,99.76690674,99.30211639,100.1812668,99.76461792,100.8933182,101.1025925,99.62641907,100.5293121,99.65747833,99.54445648,99.57296753,
DOM,Dominican Republic,,35.59241867,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.17711639,82.58049774,,95.9025116,,90.48750305,,89.33769226,95.24304962,,93.82454681,92.16488647,94.00673676,94.57364655,94.81555176,94.84764099,97.91731262,96.99230957,95.02313232,93.24401093,93.38847351,96.90383911,88.98847198,90.12213135,85.92904663
DZA,Algeria,,,30.40756035,31.72723961,32.81954956,38.51087952,45.31814957,48.48411942,50.58877182,51.13983917,52.06132126,54.66992188,58.36912918,60.79610825,64.16387939,75.34706116,63.79589081,66.94577789,70.79708862,73.97006989,72.9720993,73.12499237,74.66336823,73.67931366,72.81359863,74.79416656,78.07466888,80.45973206,,83.15971375,82.47750854,89.62973022,92.68789673,94.50122833,97.17997742,98.57514191,86.94793701,99.31329346,110.7630768,97.57032776,97.66573334,97.44474792,99.44114685,101.9750137,101.7765274,98.41851044,100.8515472,102.8029175,103.5242767,100.2915802,102.2139206,99.59355927,96.09036255,100.7251129
EAP,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,92.36727905,89.61559296,90.45076752,92.13345337,93.72183228,95.81066132,97.96640778,96.86205292,96.24363708,95.42121887,94.96595001,94.13954163,96.84001923,102.0542526,102.7359772,102.5218582,101.3151093,99.17932129,99.76737213,96.14063263,94.28785706,96.33602142,98.01204681,99.35166931,98.51692963,96.44950867,98.20726013,98.22366333,
